"iso","aboveground_biomass_loss__Mg","treecover_loss__ha","aboveground_co2_emissions__Mg","treecover_loss__year"
"MNG",289489.50649238954,3550.509212361634,530730.761902714,2011
"MOZ",19366456.817125518,150242.38837890542,35505170.83139677,2011
"MSR",1458.1061804737808,6.343112550028968,2673.19466420193,2011
"MTQ",31435.468615681435,152.99273973812822,57631.69246208263,2011
"MUS",84338.29952511676,487.31949644207907,154620.2157960474,2011
"MWI",1261562.9579692876,8216.209943862274,2312865.4229436927,2011
"MYS",113153197.19892335,463078.37202888506,207447528.1980259,2011
"MYT",428.9727260467727,2.327297513664053,786.4499977524166,2011
"NAM",4249.85110581685,70.90416643330003,7791.393693997557,2011
"NCL",117569.12734042254,709.1568658939245,215543.400124108,2011
"NGA",7088963.2710322235,53891.48864102452,12996432.663559075,2011
"NIC",9518696.465924496,43289.75705201618,17450943.520861577,2011
"NLD",185995.34385344747,1155.2918805107406,340991.46373132046,2011
"NOR",2950850.542107697,32768.91954423755,5409892.660530775,2011
"NPL",725047.1909742292,2816.4599699566584,1329253.1834527534,2011
"NZL",10949209.162587624,59943.053830082186,20073550.13141064,2011
"PAK",80400.11448975449,463.3844430140608,147400.20989788324,2011
"PAN",5055427.376406284,23104.09350381739,9268283.52341153,2011
"PER",33510309.417398944,125265.09054643183,61435567.265231356,2011
"PHL",7821384.251335578,33252.86178407713,14339204.460781887,2011
"PLW",9817.366807720828,30.59188477753724,17998.50581415485,2011
"PNG",15954538.291121427,53046.61197156899,29249986.867055938,2011
"POL",7807035.651109563,56650.180834739906,14312898.693700865,2011
"PRI",232101.29471782205,1227.762500439046,425519.0403160071,2011
"PRK",628558.1294672568,5431.467606532369,1152356.570689971,2011
"PRT",3685296.4598163953,26672.763593250285,6756376.842996722,2011
"PRY",33913709.106702015,457195.73343448195,62175133.362287045,2011
"PSE",22.99546336130704,0.261357318096829,42.15834949572957,2011
"REU",104307.83601132322,562.4162710655468,191231.03268742585,2011
"ROU",2934166.951293561,16927.421745702002,5379306.077371528,2011
"RUS",277334656.98955524,3021487.903716371,508446871.14751804,2011
"RWA",145673.6136345369,925.9345724824993,267068.2916633176,2011
"SDN",22550.300338136218,205.23965825659246,41342.21728658307,2011
"SEN",13689.24140693315,116.84204874576423,25096.942579377435,2011
"SGP",10995.214898936381,73.91115390354236,20157.893981383364,2011
"SLB",1475552.9099407566,5860.705993261617,2705180.3348913873,2011
"SLE",5120808.876611417,33929.46108345449,9388149.607120931,2011
"SLV",537359.4608383684,3242.2190068461387,985159.0115370089,2011
"SOM",14954.699928514316,184.5080426462943,27416.949868942913,2011
"SPM",,0.05302911553602129,,2011
"SRB",396553.83125716244,2210.1616112546653,727015.3573047977,2011
"SSD",993224.0104788352,9011.574752713499,1820910.6858778647,2011
"SUR",1828422.6316781754,5696.754549846583,3352108.158076655,2011
"SVK",2124499.931597841,11543.845547858666,3894916.541262708,2011
"SVN",281528.81627847836,1436.1345837047684,516136.1631772103,2011
"SWE",18213976.077065714,205321.30074366962,33392289.474620473,2011
"SWZ",506797.047369062,2621.9245353322913,929127.9201766137,2011
"SXM",348.41208529389513,2.5635234234373545,638.7554897054745,2011
"SYR",17711.698427781328,155.89835133830348,32471.447117599102,2011
"TCA",945.9404570168001,14.599105427989961,1734.2241711974666,2011
"TCD",99568.36901286794,920.0001787977909,182542.00985692462,2011
"TGO",141027.0693858211,1255.7789802334473,258549.6272073387,2011
"THA",19796771.18603182,94544.69378047745,36294080.507724985,2011
"TJK",2083.3148244757767,20.201706517376227,3819.410511538923,2011
"TKM",1647.775270088146,16.515233475966994,3020.921328494934,2011
"TLS",311503.3619629703,1463.4766671068548,571089.4969321121,2011
"TTO",82285.52334651549,374.7194797229722,150856.79280194506,2011
"TUN",254996.72396356703,2203.8900279014965,467493.9939332062,2011
"TUR",2639570.2318132846,23887.927234929062,4839212.091657689,2011
"TWN",329802.74347934325,1461.4869961607071,604638.3630454625,2011
"TZA",18464284.80221358,137805.33465555223,33851188.80405824,2011
"UGA",11419469.411816817,65067.31794219708,20935693.921664175,2011
"UKR",8712916.132201279,60355.87401913389,15973679.575702347,2011
"UMI",,0.1461976258094535,,2011
"URY",2657032.4061649367,28001.412844119895,4871226.07796905,2011
"USA",255798812.99524313,1663692.304400236,468964490.4912786,2011
"UZB",3499.3959406354006,33.41626008151237,6415.5592244982345,2011
"VCT",6516.876317466925,30.421077479226668,11947.606582022694,2011
"VEN",12333470.205659062,74441.21988581291,22611362.04370828,2011
"VGB",2566.9629969055245,15.346735096775532,4706.098827660127,2011
"VIR",8311.349450793006,49.91760351435661,15237.473993120515,2011
"VNM",28532018.113806777,130786.40739750105,52308699.87531245,2011
"VUT",139026.7743321562,607.1044173004832,254882.4196089529,2011
"XAD",116.92013139832669,1.0808338175737233,214.3535742302656,2011
"XCA",8415.387647672851,208.11693325968037,15428.210687400226,2011
"XKO",147212.20955975715,802.0038878749967,269889.0508595549,2011
"XNC",1449.9328776728403,14.067647252982528,2658.21027573354,2011
"ZAF",14026459.055116765,69616.79323771979,25715174.93438074,2011
"ZMB",10014871.605362432,60076.41864813256,18360597.943164468,2011
"ZWE",1508887.6979846936,9039.172703429034,2766294.1129719373,2011
"ABW",11.950831393182987,0.15032492318469165,21.90985755416881,2012
"AFG",4862.5362416727785,39.307615656067405,8914.649776400094,2012
"AGO",22319400.27016658,180754.8206844691,40918900.49530539,2012
"AIA",132.67151277142693,1.9026141586251086,243.23110674761602,2012
"ALA",58229.918708838486,654.7286496341737,106754.85096620391,2012
"ALB",870006.4555436305,5395.648852904808,1595011.8351633223,2012
"AND",1434.8803522078138,7.697719637314078,2630.613979047658,2012
"ARG",34579446.02708092,478177.91064416233,63395651.04964836,2012
"ARM",25169.238445224222,197.6781764096243,46143.60381624442,2012
"ATG",3861.5738344445685,33.3453906659918,7079.552029815041,2012
"AUS",15137355.757876385,139803.69198119326,27751818.889440067,2012
"AUT",2206826.2933267085,11158.429233731995,4045848.204432298,2012
"AZE",62980.25589461853,597.6319686938891,115463.80247346732,2012
"BDI",105695.00587915824,871.1629204077065,193774.17744512344,2012
"BEL",1239896.3711246524,5635.167607287622,2273143.3470618627,2012
"BEN",333992.744641864,2865.41175458789,612320.0318434176,2012
"BES",389.84003650005263,3.2220784907947992,714.7067335834298,2012
"BFA",40.19311228077975,0.37773386356553823,73.68737251476287,2012
"BGD",1148372.8958420209,5359.457805822225,2105350.3090437045,2012
"BGR",1303939.9877637662,9977.505725373241,2390556.644233571,2012
"BHS",28945.020835539224,370.59397257451275,53065.871531821904,2012
"BIH",399623.78057132056,2433.75692449086,732643.5977140877,2012
"BLM",14.074876655770684,0.14661330793944477,25.803940535579585,2012
"BLR",5076977.430880792,39591.09204589104,9307791.956614789,2012
"BLZ",2014618.1868822987,11527.967596729457,3693466.6759508797,2012
"BMU",46.690612758655114,0.5877053031575188,85.59945672420105,2012
"BOL",48807874.23452496,273544.0107446265,89481102.76329571,2012
"BRA",502762908.1950539,2918633.1410240177,921731998.3575985,2012
